id	self_cefr	score
rater_24	C2	60.0
rater_29	C1	60.0
rater_36	A1	60.0
rater_2	C2	58.0
rater_35	C2	58.0
rater_23	A2	58.0
rater_51	C2	58.0
rater_113	C1	57.0
rater_10	C2	57.0
rater_33	C2	56.0
rater_22	B2	56.0
rater_19	C1	56.0
rater_53	C2	54.0
rater_55	C1	54.0
rater_38	B2	54.0
rater_26	B1	53.0
rater_47	C2	53.0
rater_103	A2	53.0
rater_9	C1	52.0
rater_8	A2	51.0
rater_54	B1	51.0
rater_5	B2	51.0
rater_42	B1	51.0
rater_114	C1	50.0
rater_20	A2	48.0
rater_6	B1	48.0
rater_106	A2	48.0
rater_41	B2	47.0
rater_107	C2	46.0
rater_46	B1	46.0
rater_31	B2	46.0
rater_21	B2	45.0
rater_3	B2	45.0
rater_7	C1	44.0
rater_37	C2	44.0
rater_48	B1	44.0
rater_104	B2	44.0
rater_34	C1	41.0
rater_4	B2	41.0
rater_49	B1	41.0
rater_105	C1	41.0
rater_56	B2	39.0
rater_18	B2	38.0
rater_45	B2	38.0
rater_50	C1	38.0
rater_108	B2	37.0
rater_40	B2	36.0
rater_25	B2	36.0
rater_30	B2	34.0
rater_15	B1	34.0
rater_28	C1	33.0
rater_14	B2	32.0
rater_1	C1	31.0
rater_17	B2	31.0
rater_27	B2	31.0
rater_39	C1	30.0
rater_52	B1	30.0
rater_112	B1	30.0
rater_110	B2	29.0
rater_44	B2	27.0
rater_13	B2	27.0
rater_32	A2	26.0
rater_11	C1	26.0
rater_16	B2	26.0
rater_57	B2	25.0
rater_12	B2	25.0
rater_111	0	25.0
rater_109	B2	25.0
rater_43	C1	25.0
